ID,Title,Description,Type,BodyPart,Equipment,Level,Rating,RatingDesc,URL,Area
10,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,8.3,Average,https://www.youtube.com/watch?v=RVGYevyytlc&pp=ygUWQmVuY2ggYmFyYmVsbCByb2xsLW91dA%3D%3D,Core
11,Barbell Side Bend,,Strength,Abdominals,Barbell,Beginner,7,Average,https://www.youtube.com/watch?v=CnsLmYb6tTw&pp=ygURQmFyYmVsbCBTaWRlIEJlbmQ%3D,Obliques
12,Advanced Kettlebell Windmill,,Strength,Abdominals,Kettlebells,Beginner,8.3,Average,https://www.youtube.com/watch?v=H8fmeaq8ewI&pp=ygUcQWR2YW5jZWQgS2V0dGxlYmVsbCBXaW5kbWlsbA%3D%3D,Core
13,Kettlebell Pass Between The Legs,,Strength,Abdominals,Kettlebells,Beginner,7.3,Average,https://www.youtube.com/watch?v=dPqGBoegbj8&pp=ygUgS2V0dGxlYmVsbCBQYXNzIEJldHdlZW4gVGhlIExlZ3M%3D,Core
14,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,9.3,Average,https://www.youtube.com/watch?v=MJ6qGcEx6Ak&pp=ygUVRHVtYmJlbGwgc3BlbGwgY2FzdGVy,Core
15,Plate Twist,,Strength,Abdominals,Other,Beginner,9,Average,https://www.youtube.com/watch?v=pz1H4uhLMJ0&pp=ygULUGxhdGUgVHdpc3Q%3D,Obliques
16,Bosu Ball Cable Crunch With Side Bends,,Strength,Abdominals,Cable,Beginner,8.5,Average,https://www.youtube.com/watch?v=ghrP6z8spxo&pp=ygUmQm9zdSBCYWxsIENhYmxlIENydW5jaCBXaXRoIFNpZGUgQmVuZHM%3D,Abs
17,Cable reverse crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",Strength,Abdominals,Cable,Beginner,8.2,Average,https://www.youtube.com/watch?v=Ss3G7RnIjV4&pp=ygUUQ2FibGUgcmV2ZXJzZSBjcnVuY2g%3D,Abs
18,Cable Russian Twists,,Strength,Abdominals,Cable,Beginner,8.1,Average,https://www.youtube.com/watch?v=WyQjF9u7Auo&pp=ygUUQ2FibGUgUnVzc2lhbiBUd2lzdHM%3D,Obliques
19,Cable Seated Crunch,,Strength,Abdominals,Cable,Beginner,7.7,Average,https://www.youtube.com/watch?v=CXXfPi6raog&pp=ygUTQ2FibGUgU2VhdGVkIENydW5jaA%3D%3D,Abs
20,Assisted Single-Arm Pull-Up,,Strength,Lats,Other,Expert,,,https://www.youtube.com/watch?v=d0cc7GiIZ68&pp=ygUbQXNzaXN0ZWQgU2luZ2xlLUFybSBQdWxsLVVw,Back
21,Finger Assisted Single-Arm Chin-Up,,Strength,Lats,Other,Expert,,,https://www.youtube.com/watch?v=whSHugqdr5c&pp=ygUbQXNzaXN0ZWQgU2luZ2xlLUFybSBDaGluLVVw,Back
22,Power snatch-,"The power snatch is a full-body lift in which the bar is pulled from the floor with a wide grip to the overhead position in one movement. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power snatch can be used as a learning tool for the full snatch, or to train muscular power and strength on its own. It is usually performed for low reps, focusing on power and movement quality.",Olympic Weightlifting,Quadriceps,Barbell,Expert,9.3,Average,https://www.youtube.com/watch?v=I7TzLNg8uFU&pp=ygUNUG93ZXIgc25hdGNoLQ%3D%3D,Full Body
23,Narrow-stance squat,"The narrow-stance squat is an exercise that targets the lower body with an emphasis on the quads. Many people will find they can't go as deep in a narrow-stance squat as with a wider squat, which is normal. The narrow-stance squat can be performed for time or reps in any workout.",Strength,Quadriceps,Barbell,Expert,9,Average,https://www.youtube.com/watch?v=1IIPcUCKxcE&pp=ygUTTmFycm93LXN0YW5jZSBzcXVhdA%3D%3D,Legs
24,Barbell forward lunge,"The barbell forward lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The forward lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.",Strength,Quadriceps,Barbell,Expert,8.8,Average,https://www.youtube.com/watch?v=9sqrsMfUNTU&pp=ygUVQmFyYmVsbCBmb3J3YXJkIGx1bmdl,Legs
25,Barbell hack squat,"The barbell hack squat is a variety of deadlift performed with the barbell behind the legs. This forces the lifter into a body position similar to a squat and targets the quads and glutes. It is named after famed strongman George Hackenschmidt, who performed it as an overall leg-building exercise. The barbell hack squat can be used as a substitute for the machine hack squat, or as a lower-body strength and size movement on its own.",Strength,Quadriceps,Barbell,Expert,8.5,Average,https://www.youtube.com/watch?v=64PFHtq5XO8&pp=ygUSQmFyYmVsbCBoYWNrIHNxdWF0,Core
26,Single-arm side deadlift,"The single-arm side deadlift is a compound exercise that strengthens the glutes, quads, hamstrings, back, and core. It has more of a core stability and anti-rotational component than other deadlift variations. The side deadlift is usually done for low to moderate reps, such as 5-8 reps per side, with a focus on posture and movement quality.",Strength,Quadriceps,Barbell,Expert,7.5,Average,https://www.youtube.com/watch?v=LVckAinjmN4&pp=ygUYU2luZ2xlLWFybSBzaWRlIGRlYWRsaWZ0,Legs
27,Single-arm kettlebell overhead squat,"The single-arm kettlebell overhead squat is a popular kettlebell movement performed while holding a single kettlebell in a locked-out overhead position. It targets the muscles of the lower body dynamically, while also challenging and building shoulder stability and upper-back mobility. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a kettlebell combination or complex.",Strength,Quadriceps,Kettlebells,Expert,7,Average,https://www.youtube.com/watch?v=nrfDq0DUhrE&pp=ygUkU2luZ2xlLWFybSBrZXR0bGViZWxsIG92ZXJoZWFkIHNxdWF0,Abs
28,Hack Squat - Gethin Variation,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Expert,,,https://www.youtube.com/watch?v=rYgNArpwE7E&pp=ygUKSGFjayBTcXVhdA%3D%3D,Legs
29,Scissors Jump,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout.",Plyometrics,Quadriceps,Body Only,Expert,8.5,Average,https://www.youtube.com/watch?v=5VlnYBz64Pg&pp=ygUNU2Npc3NvcnMgSnVtcA%3D%3D,Legs
30,Bicycle Crunches,Bicycle crunches are a variation of the ab crunch that involves using a cycling motion with the legs and rotating the upper body to challenge the core.,Strength,Legs,Body Only,Beginner,,Average,https://www.youtube.com/watch?v=1we3bh9uhqY&pp=ygUQQmljeWNsZSBDcnVuY2hlcw%3D%3D,Abs
31,Woodchoopers,It helps strengthen the muscles you need for rotational movement. ,Strength,Core,Body Only,Intermediate,,Average,https://www.youtube.com/watch?v=qH9zfcN_xh4&pp=ygUMV29vZGNob29wZXJz,Abs
32,Dragon Flags,"An advanced move, dragon exercise works the entire torso, from the head to the toe.",Strength,Muscles,Full Body,Expert,,,https://www.youtube.com/watch?v=qW1KX9uWESw&pp=ygUMRHJhZ29uIEZsYWdz,Abs
33,Superman,"Helps provide spinal support, reduces the risk of back injury",Strength,Hamstrings,Full Body,Beginner,,,https://www.youtube.com/watch?v=z6PJMT2y8GQ&pp=ygURU3VwZXJtYW4gZXhlcmNpc2U%3D,Back
34,Pull Ups,An exercise in which one hangs by the hands from a support (such as a horizontal bar) and pulls oneself up until the chin is level with the support.,Strength,Hands,Body Only,Intermediate,,,https://www.youtube.com/watch?v=YVi8tlbOTCU&pp=ygUIUHVsbCBVcHM%3D,Back
35,Weighted Superman,The Superman exercise is designed to strengthen and improve stabilization of your lumbar and hip extensors,Strength,Lumbar,Body Only,Expert,,,https://www.youtube.com/watch?v=BRWfgwVhtu4&pp=ygURV2VpZ2h0ZWQgU3VwZXJtYW4%3D,Back
36,Pushup,"While it's often thought of as a chest exercise, it also works the triceps, anterior deltoids, and core muscles, as well as the pectoralis major and minor",Strength,Hands,Body Only,Beginner,,,https://www.youtube.com/watch?v=FaIpD_zfrJI&pp=ygUGUHVzaHVw,Chest
37,Squats,A squat is a strength exercise in which the trainee lowers their hips from a standing position and then stands back up.,Strength,Ankle,Body Only,Beginner,,,https://www.youtube.com/watch?v=xqvCmoLULNY&pp=ygUNU3F1YXRzIGluIGd5bQ%3D%3D,Glutes
38,Burpees,An advanced compound exercise that targets several major muscle groups.,Strength,Hands-Arms,Body Only,Beginner,,,https://www.youtube.com/watch?v=auBLPXO8Fww&pp=ygUHQnVycGVlcw%3D%3D,Full Body
39,Calf Raises,"The physical movement of rising up onto the balls of your feet (aka tip toes), then lowering your heels back down to the floor.",Strength,Calfs,Body Only,Beginner,,,https://www.youtube.com/watch?v=eMTy3qylqnE&pp=ygULQ2FsZiBSYWlzZXM%3D,Legs
40,Single-Arm Dumbbell Chest Press,"Challenges the deltoids, as well as targeting the triceps, traps, and obliques.",Strength,Torso,Dumbbell,Expert,,,https://www.youtube.com/watch?v=d6Ba29xFBnw&pp=ygUfU2luZ2xlLUFybSBEdW1iYmVsbCBDaGVzdCBQcmVzcw%3D%3D,Chest
41,Glute-Ham Raises,The Glute-Ham Raise transcends traditional leg exercises by incorporating significant core engagement.,Strength,Muscles,Dumbbell,Expert,,,https://www.youtube.com/watch?v=m0AIU1dCVkU&pp=ygUQR2x1dGUtSGFtIFJhaXNlcw%3D%3D,Glutes
42,Hanging Windshield Wipers,"Builds serious strength in all parts of the core, particularly the obliques and transversus abdominis.",Strength,Abdominals,Barbell,Expert,,,https://www.youtube.com/watch?v=jJaP6Zed0LI&pp=ygUZSGFuZ2luZyBXaW5kc2hpZWxkIFdpcGVycw%3D%3D,Obliques
